СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
ИНФОРМАТИКА I курс;АНАЛИТИЧНА ГЕОМЕТРИЯ;доц. А. РУСЕВА;"В ЕЛЕКТРОННА
СРЕДА";П;24.01.;Мудъл;14.00.
;;;;У;28.01.;Мудъл;09.00.
;кат. Геометрия;;;У;29.01.;Мудъл;09.00.
;"ДИФЕРЕНЦИАЛНО И ИНТЕГРАЛНО
СМЯТАНЕ - I";доц. П. ПЪРВАНОВ;"ПРИСЪСТВЕНО В
ЗАЛА";I ч.;01.02.;200 325;09.00.
;кат. Математически анализ;;;II ч.;04.02.;200 325;09.00.
;ЛИНЕЙНА АЛГЕБРА;доц. А. БОЖИЛОВ;ПРИСЪСТВЕНО В ЗАЛА;П;07.02.;"325,107,120,306,314,320,3
21";10.00.
;;;;У;09.02.;325;10.00.
;;;;У;10.02.;325;10.00.
;кат. Алгебра;;;У;11.02.;325;10.00.
;УВОД  В ПРОГРАМИРАНЕТО;доц. Д. ДИМИТРОВ;"В ЕЛЕКТРОННА
СРЕДА";П;15.02.;Мудъл;09.00.
;кат. Компютърна информатика;;;У;18.02.;Мудъл;09.00.
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
ИНФОРМАТИКА II курс;"ДИФЕРЕНЦИАЛНИ УРАВНЕНИЯ И
ПРИЛОЖЕНИЯ";доц. Т. ПОПОВ;"В ЕЛЕКТРОННА
СРЕДА";П;08.02.;Мудъл;10.00.
;кат. Диференциални уравнения;;;У;12.02.;Мудъл;10.00.
;ЕЗИЦИ, АВТОМАТИ И ИЗЧИСЛИМОСТ;проф. А. СОСКОВА;"ПРИСЪСТВЕНО В
ЗАЛА";П;24.01.;325;09.00.
;;;;У;27.01.;325;09.00.
;кат. Математическа логика и приложенията й;;събеседване -28.01.;;;101;11.00.
;ИЗСЛЕДВАНЕ НА ОПЕРАЦИИТЕ;проф. Н. ЗЛАТЕВА;"В ЕЛЕКТРОННА
СРЕДА";22.01.;;Мудъл;10.00.
;кат. ВОИС;;;;;;
;СТРУКТУРИ ОТ ДАННИ И ПРОГРАМИРАНЕ;доц. А. СЕМЕРДЖИЕВ, доц. П. АРМЯНОВ;В ЕЛЕКТРОННА СРЕДА;П;"31.01. -
практи ческа част";Мудъл;09.00.
;;;;П;"31.01.-
теория";Мудъл;14.00.
;;;;У;04.02.;Мудъл;09.00.
;кат. Компютърна информатика;;;У;05.02.;Мудъл;09.00.
Правилата за провеждане на присъствени изпити са същите, както и правилата за провеждане на присъствени занятия, съгласно заповед РД-29-40/ 05.11.2021 г.;;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
ИНФОРМАТИКА  III курс;КОМПЮТЪРНИ МРЕЖИ;доц. С. ДИМИТРОВ;"писмен-
дистанционно";П;13.02.;Мудъл;11.00.
;кат. Изчислителни системи(временно присъединена към кат.МРМ);;устен-присъствено;У;17.02.;200;11.00.
;ОПЕРАЦИОННИ СИСТЕМИ;гл.ас. Г. ГЕОРГИЕВ;"ПРИСЪСТВЕНО В
ЗАЛА";"П - I
част";29.01.;ФХФ 210;13.00.
;;;;"П - II
част";05.02.;107 120 306 320 321;09.00.
;кат. Математическа логика и приложенията й;;;У;12.02.;101;09.00.
;ВЕРОЯТНОСТИ И СТАТИСТИКА;проф. М. БОЖКОВА;ПРИСЪСТВЕНО В ЗАЛА;П;26.01.;107, 120, 314, 320, 321;10.00.
;;;;П;02.02.;ФХФ 210;14.00.
;кат. ВОИС;;;У;07.02.;ФХФ 210;09.00.
;ФУНКЦИОНАЛНО ПРОГРАМИРАНЕ;доц. Т. ТРИФОНОВ;"В ЕЛЕКТРОННА
СРЕДА";П;09.02.;Мудъл;09.00.
;кат. Компютърна информатика;;;У;09.02.;Мудъл;13.00.
;;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
ИНФОРМАТИКА IV курс;КОМПЮТЪРНА ГРАФИКА;доц. Н. НАЙДЕНОВ;"В ЕЛЕКТРОННА
СРЕДА";П;27.01.;Мудъл;11.00.
;кат. Числени методи и алгоритми;;;У;28.01.;Мудъл;11.00.
;СОФТУЕРНИ ТЕХНОЛОГИИ;проф. С. ИЛИЕВА;"В ЕЛЕКТРОННА
СРЕДА";01.02.;;Мудъл;10.00.
;кат. Софтуерни технологии;;;;;;
;"ЧИСЛЕНИ МЕТОДИ ЗА ДИФЕРЕНЦИАЛНИ
УРАВНЕНИЯ";гл.ас. Т. ИВАНОВ;ПРИСЪСТВЕНО В ЗАЛА;П;10.02.;107 120;10.00.
;кат. Числени методи и алгоритми;;;У;15.02.;229;10.00.
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
"ИНФОРМАЦИОННИ
СИСТЕМИ  I курс";АЛГЕБРА;доц. Е. ВЕЛИКОВА;В ЕЛЕКТРОННА СРЕДА;П;10.02.;Мудъл;09.00.
;;;;П;11.02.;Мудъл;09.00.
;;;;У;13.02.;Мудъл;09.00.
;;;;У;14.02.;Мудъл;09.00.
;;;;У;15.02.;Мудъл;09.00.
;;;;У;16.02.;Мудъл;09.00.
;;;;У;17.02.;Мудъл;09.00.
;кат. Алгебра;;;У;18.02.;Мудъл;09.00.
;"ДИФЕРЕНЦИАЛНО И ИНТЕГРАЛНО
СМЯТАНЕ - I";доц. М. ТАКЕВ;"В ЕЛЕКТРОННА
СРЕДА";П;01.02.;Мудъл;09.00.
;кат. Математически анализ;;;У;04.02.;Мудъл;09.00.
;ДИСКРЕТНИ СТРУКТУРИ;доц. Х. ГАНЧЕВ;"В ЕЛЕКТРОННА
СРЕДА";П;25.01.;Мудъл;09.00.
;;;;У;28.01.;Мудъл;09.00.
;кат. Математическа логика и приложенията й;;;У;29.01.;Мудъл;09.00.
;УВОД В ПРОГРАМИРАНЕТО;доц. Д. ДИМИТРОВ;"В ЕЛЕКТРОННА
СРЕДА";07.02.;;Мудъл;08.00.
;кат. Компютърна информатика;;;;;;
;;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
"ИНФОРМАЦИОННИ
СИСТЕМИ  II курс";"ОСНОВИ НА ИНФОРМАЦИОННИ СИСТЕМИ
2";проф. В. ДИМИТРОВ;"В ЕЛЕКТРОННА
СРЕДА";26.01.;;Мудъл;09.00.
;кат. Компютърна информатика;;;;;;
;"ИНФОРМАЦИОННИ СИСТЕМИ - ТЕОРИЯ И
ПРАКТИКА";проф. В. ДИМИТРОВ;"В ЕЛЕКТРОННА
СРЕДА";26.01.;;Мудъл;13.00.
;кат. Компютърна информатика;;;;;;
;КОМПЮТЪРНИ АРХИТЕКТУРИ;доц. С. ЦВЕТАНОВ;"В ЕЛЕКТРОННА
СРЕДА";08.02.;;Мудъл;09.00.
;кат. Изчислителни системи(временно присъединена към кат.МРМ);;;;;;
;СТРУКТУРИ ОТ ДАННИ;доц. П. АРМЯНОВ;В ЕЛЕКТРОННА СРЕДА;П;"31.01. -
практи ческа част";Мудъл;09.00.
;кат. Компютърна информатика;;;П;"31.01.-
теория";Мудъл;14.00.
;;;;У;04.02.;Мудъл;09.00.
;;;;У;05.02.;Мудъл;09.00.
;;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
ИНФОРМАЦИОННИ СИСТЕМИ  III курс;XML ТЕХНОЛОГИИ;доц. П. ПАВЛОВ;"В ЕЛЕКТРОННА
СРЕДА";П;05.02.;Мудъл;09.00.
;кат. Компютърна информатика;;;У;06.02.;Мудъл;09.00.
;"СИСТЕМИ ЗА УПРАВЛЕНИЕ НА БАЗИ ОТ
ДАННИ";проф. В. ДИМИТРОВ;"В ЕЛЕКТРОННА
СРЕДА";24.01.;;Мудъл;09.00.
;кат. Компютърна информатика;;;;;;
;СИСТЕМИ, ОСНОВАНИ НА ЗНАНИЯ;проф. М. НИШЕВА;"В ЕЛЕКТРОННА
СРЕДА";П;31.01.;Мудъл;09.00.
;кат. Компютърна информатика;;;У;31.01.;Мудъл;11.30.
;КОМУНИКАТИВНИ УМЕНИЯ И РАБОТА В ЕКИП;доц. Н. СТЕФАНОВА;"В ЕЛЕКТРОННА
СРЕДА";27.01.;;Мудъл;11.30.
;;гл.ас. Д. ПЕТРОВА;;;;;
;;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
"ИНФОРМАЦИОННИ
СИСТЕМИ  IV курс";СИСТЕМИ ЗА Е-БИЗНЕС;доц. Й. ПАТИАС;"В ЕЛЕКТРОННА
СРЕДА";09.02.;;Мудъл;10.00.
;кат. Компютърна информатика;;;;;;
;УПРАВЛЕНИЕ НА ПРОЕКТИ;проф. К. КАЛОЯНОВА;"В ЕЛЕКТРОННА
СРЕДА";П;24.01.;Мудъл;14.00.
;кат. Компютърна информатика;;;У;26.01.;Мудъл;14.00.
;"ОСНОВИ НА ИНФОРМАЦИОННАТА
СИГУРНОСТ";проф. В. ДИМИТРОВ;"В ЕЛЕКТРОННА
СРЕДА";07.02.;;Мудъл;10.00.
;кат. Компютърна информатика;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
"КОМПЮТЪРНИ НАУКИ
I курс, 1 поток";АЛГЕБРА  I;доц. Е. ВЕЛИКОВА;В ЕЛЕКТРОННА СРЕДА;П;28.01.;Мудъл;09.00.
;;;;У;29.01.;Мудъл - по график;09.00.
;;;;У;30.01.;Мудъл - по график;09.00.
;;;;У;31.01.;Мудъл - по график;09.00.
;;;;У;01.02.;Мудъл - по график;09.00.
;;;;У;02.02.;Мудъл - по график;09.00.
;;;;У;03.02.;Мудъл - по график;09.00.
;кат. Алгебра;;;У;04.02.;Мудъл - по график;09.00.
;"ДИФЕРЕНЦИАЛНО И ИНТЕГРАЛНО
СМЯТАНЕ - I";доц. Б. ДРАГАНОВ;В ЕЛЕКТРОННА СРЕДА;П;14.02.;Мудъл;09.00.
;кат. Математически анализ;;;У;18.02.;Мудъл;14.00.
;ДИСКРЕТНИ СТРУКТУРИ;гл.ас. Г. ГЕОРГИЕВ;"ПРИСЪСТВЕНО В
ЗАЛА";У;07.02.;101;09.00.
;;;;У;08.02.;101;09.00.
;кат. Математическа логика и приложенията й;;;П;11.02.;ФХФ 210;09.00.
;УВОД В ПРОГРАМИРАНЕТО;доц. Т. ТРИФОНОВ;В ЕЛЕКТРОННА СРЕДА;П;24.01.;Мудъл;09,00
;кат. Компютърна информатика;;;У;25.01.;Мудъл;09..00.
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
"КОМПЮТЪРНИ НАУКИ
I курс, 2 поток";АЛГЕБРА  I;проф. А. КАСПАРЯН;"В ЕЛЕКТРОННА
СРЕДА";П;05.02.;Мудъл;09.00.
;;;;У;06.02.;Мудъл;09.00.
;;;;У;07.02.;Мудъл;830
;кат. Алгебра;;;У;08.02.;Мудъл;08.30.
;"ДИФЕРЕНЦИАЛНО И ИНТЕГРАЛНО
СМЯТАНЕ - I";проф. Н. РИБАРСКА;"ПРИСЪСТВЕНО В
ЗАЛА";П;28.01.;ФХФ 130, ФХФ 210;09.00.
;;;;У;01.02.;101;10.00.
;кат. Математически анализ;;;У;02.02.;325;10.00.
;ДИСКРЕТНИ СТРУКТУРИ;доц. М. МАРКОВ;"ПРИСЪСТВЕНО В
ЗАЛА";П;11.02.;ФХФ 130, ФХФ 210;13.00.
;;;;У;16.02.;229;09.00.
;;;;У;17.02.;229;09.00.
;кат. Математическа логика и приложенията й;;;У;18.02.;229;09.00.
;УВОД В ПРОГРАМИРАНЕТО;доц. Н. АНГЕЛОВА;"В ЕЛЕКТРОННА
СРЕДА";П;24.01.;Мудъл;09,00
;кат. Компютърна информатика;;;У;25.01.;Мудъл;09..00.
;;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
"КОМПЮТЪРНИ НАУКИ
II курс, 1 поток";КОМПЮТЪРНИ АРХИТЕКТУРИ;гл. ас. Ю. ЦУКРОВСКИ;ПРИСЪСТВЕНО В ЗАЛА;08.02.;;325;10.00.
;кат. Изчислителни системи(временно присъединена към кат.МРМ);;;;;;
;ОСНОВИ НА КОМПЮТЪРНАТА ГРАФИКА;проф. П. БОЙЧЕВ;"ПРИСЪСТВЕНО В
ЗАЛА";П;11.02.;101;14.00.
;кат. Информационни технологии;;;У;12.02.;325;14.00.
;СТРУКТУРИ ОТ ДАННИ И ПРОГРАМИРАНЕ;доц. А. СЕМЕРДЖИЕВ, доц. П. АРМЯНОВ;В ЕЛЕКТРОННА СРЕДА;П;"31.01. -
практи ческа част";Мудъл;09.00.
;;;;П;"31.01.-
теория";Мудъл;14.00.
;;;;У;04.02.;Мудъл;09.00.
;кат. Компютърна информатика;;;У;05.02.;Мудъл;09.00.
;ФУНКЦИОНАЛНО ПРОГРАМИРАНЕ;проф. М. НИШЕВА;"В ЕЛЕКТРОННА
СРЕДА";П;25.01.;Мудъл;10.00.
;кат. Компютърна информатика;;;У;27.01.;Мудъл;10.00.
;;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
"КОМПЮТЪРНИ НАУКИ
II курс, 2 поток";КОМПЮТЪРНИ АРХИТЕКТУРИ;"гл. ас. Ю.
ЦУКРОВСКИ";"ПРИСЪСТВЕНО В
ЗАЛА";П;24.01.;200;10.00.
;"кат. Изчислителни системи(временно присъединена към
кат.МРМ)";;;У;25.01.;200;09.00.
;ОСНОВИ НА КОМПЮТЪРНАТА ГРАФИКА;проф. П. БОЙЧЕВ;"ПРИСЪСТВЕНО В
ЗАЛА";П;14.02.;200;14.00.
;кат. Информационни технологии;;;У;15.02.;325;14.00.
;СТРУКТУРИ ОТ ДАННИ И ПРОГРАМИРАНЕ;доц. Н.АНГЕЛОВА;"В ЕЛЕКТРОННА
СРЕДА";П;07.02.;Мудъл;09.00.
;кат. Компютърна информатика;;;У;13.02.;Мудъл;09.00.
;ФУНКЦИОНАЛНО ПРОГРАМИРАНЕ;доц. Т. ТРИФОНОВ;"В ЕЛЕКТРОННА
СРЕДА";П;09.02.;Мудъл;09.00.
;кат. Компютърна информатика;;;У;09.02.;Мудъл;13.00.
Правилата за провеждане на присъствени изпити са същите, както и правилата за провеждане на присъствени занятия, съгласно заповед РД-29-40/ 05.11.2021 г.;;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
"КОМПЮТЪРНИ НАУКИ
III курс, 1 поток";ЛОГИЧЕСКО ПРОГРАМИРАНЕ;проф. Т. ТИНЧЕВ;"ПРИСЪСТВЕНО В
ЗАЛА";П;25.01.;ФХФ 130, ФХФ 210;08.00.
;;;;У;29.01.;ФХФ 130, ФХФ 210;08,00
;кат. Математическа логика и приложенията й;;събеседване -31.01.;;;325;10.00.
;МРЕЖОВО ПРОГРАМИРАНЕ;доц. С. РУСЕВА;"В ЕЛЕКТРОННА
СРЕДА";П;15.02.;Мудъл;10,00
;"кат. Изчислителни системи(временно присъединена към
кат.МРМ)";;;У;16.02.;Мудъл;10.00.
;СИСТЕМНО ПРОГРАМИРАНЕ;гл. ас. Г. ГЕОРГИЕВ;"ПРИСЪСТВЕНО В
ЗАЛА";П;23.01.;ФХФ 210;09.00.
;кат. Математическа логика и приложенията й;;;У;13.02.;ФХФ 210;09.00.
;СОЦИАЛНО-ПРАВНИ АСПЕКТИ НА ИТ;гл.ас. К. ГЕОРГИЕВА;"В ЕЛЕКТРОННА
СРЕДА";03.02.;;Мудъл;10.00.
;кат. Софтуерни технологии;;;;;;
;ЧИСЛЕН АНАЛИЗ;проф. Г. НИКОЛОВ;ПРИСЪСТВЕНО В ЗАЛА;П;"08.02.-
четни ф.№";ФХФ 210;09.30.
;;;;П;"09.02.-
нечетн и ф.№";ФХФ 210;09.30.
;;;;У;"08.02.-
четни ф.№";каб. 520;16.00.
;кат. Числени методи и алгоритми;;;У;"09.02.-
нечетн и ф.№";каб.520;16.00.
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
;ЛОГИЧЕСКО ПРОГРАМИРАНЕ;гл. ас. А. ЗИНОВИЕВ;"ПРИСЪСТВЕНО В
ЗАЛА";П;25.01.;ФХФ 130, ФХФ 210;08.00.
;;;;У;29.01.;ФХФ 130, ФХФ 210;08,00
;кат. Математическа логика и приложенията й;;събеседване -31.01.;;;325;10.00.
;МРЕЖОВО ПРОГРАМИРАНЕ;доц. С. РУСЕВА;"В ЕЛЕКТРОННА
СРЕДА";П;15.02.;Мудъл;10,00
;кат. Изчислителни системи(временно присъединена към кат.МРМ);;;У;16.02.;Мудъл;10.00.
"КОМПЮТЪРНИ НАУКИ
III курс, 2 поток";СИСТЕМНО ПРОГРАМИРАНЕ;гл. ас. Г. ГЕОРГИЕВ;ПРИСЪСТВЕНО В ЗАЛА;П;23.01.;ФХФ 210;09.00.
;кат. Математическа логика и приложенията й;;;У;13.02.;ФХФ 210;09.00.
;СОЦИАЛНО-ПРАВНИ АСПЕКТИ НА ИТ;гл.ас. К. ГЕОРГИЕВА;"В ЕЛЕКТРОННА
СРЕДА";03.02.;;Мудъл;10.00.
;кат. Софтуерни технологии;;;;;;
;ЧИСЛЕН АНАЛИЗ;доц. Н. НАЙДЕНОВ;"В ЕЛЕКТРОННА
СРЕДА";П;08.02.;Мудъл;10.00.
;кат. Числени методи и алгоритми;;;У;09.02.;Мудъл;10.00.
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
"КОМПЮТЪРНИ НАУКИ
IV курс, 1 поток";WEB ТЕХНОЛОГИИ;доц. М. ПЕТРОВ;ПРИСЪСТВЕНО В ЗАЛА;П;25.01.;321;09,30
;кат. Софтуерни технологии;;;У;14.02.;321;09.30.
;ИЗКУСТВЕН ИНТЕЛЕКТ;проф. И. КОЙЧЕВ;"В ЕЛЕКТРОННА
СРЕДА";П;05.02.;Мудъл;09.00.
;;;;П;06.02.;Мудъл;09.00.
;;;;У;12.02.;Мудъл;09.00.
;кат. Софтуерни технологии;;;У;13.02.;Мудъл;09.00.
;СОФТУЕРНИ АРХИТЕКТУРИ;гл. ас. А. ПАПАПОСТОЛУ;"В ЕЛЕКТРОННА
СРЕДА";04.02.;;Мудъл;09.30.
;кат. Софтуерни технологии;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
"КОМПЮТЪРНИ НАУКИ
IV курс, 2 поток";WEB ТЕХНОЛОГИИ;доц. М. ПЕТРОВ;"В ЕЛЕКТРОННА
СРЕДА";П;26.01.;306;09,30
;кат. Софтуерни технологии;;;У;15.02.;321;09.30.
;ИЗКУСТВЕН ИНТЕЛЕКТ;проф. И. КОЙЧЕВ;"В ЕЛЕКТРОННА
СРЕДА";П;05.02.;Мудъл;09.00.
;;;;П;06.02.;Мудъл;09.00.
;;;;У;12.02.;Мудъл;09.00.
;кат. Софтуерни технологии;;;У;13.02.;Мудъл;09.00.
;СОФТУЕРНИ АРХИТЕКТУРИ;гл. ас. А. ПАПАПОСТОЛУ;"В ЕЛЕКТРОННА
СРЕДА";04.02.;;Мудъл;09.30.
;кат. Софтуерни технологии;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
МАТЕМАТИКА  I курс;АНАЛИТИЧНА ГЕОМЕТРИЯ;"доц. Б.
АЛЕКСАНДРОВ";"ПРИСЪСТВЕНО В
ЗАЛА";П;14.02.;326;10.00.
;кат. Геометрия;;;У;18.02.;500;10.00.
;"ДИФЕРЕНЦИАЛНО И ИНТЕГРАЛНО
СМЯТАНЕ I";гл.ас. М. БИВАС;"В ЕЛЕКТРОННА
СРЕДА";П;26.01.;Мудъл;10.00.
;кат. Математически анализ;;;У;31.01.;Мудъл;10.00.
;ЛИНЕЙНА АЛГЕБРА;доц. С. БУМОВА;ПРИСЪСТВЕНО В ЗАЛА;П;07.02.;326;10.00.
;кат. Алгебра;;;У;10.02.;326;10.00.
;УВОД В ПРОГРАМИРАНЕТО;гл.ас. И. ХРИСТОВ;"В ЕЛЕКТРОННА
СРЕДА";П;03.02.;Мудъл;09.00.
;кат. Компютърна информатика;;;У;04.02.;Мудъл;09.00.
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
МАТЕМАТИКА  II курс;ДИСКРЕТНА МАТЕМАТИКА;доц. А. ДИЧЕВ;"В ЕЛЕКТРОННА
СРЕДА";П;03.02.;Мудъл;09.00.
;кат. Математическа логика и приложенията й;;;У;07.02.;Мудъл;09.00.
;ДИФЕРЕНЦИАЛНИ УРАВНЕНИЯ;доц. О. ХРИСТОВ;"В ЕЛЕКТРОННА
СРЕДА";П;24.01.;Мудъл;10.00.
;кат. Диференциални уравнения;;;У;25.01.;Мудъл;10.00.
;МАТЕМАТИЧЕСКИ АНАЛИЗ 1;гл.ас. Н. ИВАНОВ;"В ЕЛЕКТРОННА
СРЕДА";П;10.02.;Мудъл;09.00.
;кат. Математически анализ;;;У;10.02.;Мудъл;12.00.
;ТЕОРИЯ НА ЧИСЛАТА;гл.ас. Т. ТОДОРОВА;"В ЕЛЕКТРОННА
СРЕДА";П;27.01.;Мудъл;10.00.
;кат. Алгебра;;;У;31.01.;Мудъл;10.00.
